Iteration,TotalNodes,MemoryBytes,Phase
772,2,512,Morning_Clean
773,2,512,Morning_Clean
774,2,512,Morning_Clean
775,2,512,Morning_Clean
776,2,512,Morning_Clean
777,2,512,Morning_Clean
778,2,512,Morning_Clean
779,2,512,Morning_Clean
780,2,512,Morning_Clean
781,2,512,Morning_Clean
782,2,512,Morning_Clean
783,2,512,Morning_Clean
784,2,512,Morning_Clean
785,2,512,Morning_Clean
786,2,512,Morning_Clean
787,2,512,Morning_Clean
788,2,512,Morning_Clean
789,2,512,Morning_Clean
790,2,512,Morning_Clean
791,2,512,Morning_Clean
792,2,512,Morning_Clean
793,2,512,Morning_Clean
794,2,512,Morning_Clean
795,2,512,Morning_Clean
796,2,512,Morning_Clean
797,2,512,Morning_Clean
798,2,512,Morning_Clean
799,2,512,Morning_Clean
800,2,512,Morning_Clean
801,2,512,Morning_Clean
802,2,512,Morning_Clean
803,2,512,Morning_Clean
804,2,512,Morning_Clean
805,2,512,Morning_Clean
806,2,512,Morning_Clean
807,2,512,Morning_Clean
808,2,512,Morning_Clean
809,2,512,Morning_Clean
810,2,512,Morning_Clean
811,2,512,Morning_Clean
812,2,512,Morning_Clean
813,2,512,Morning_Clean
814,2,512,Morning_Clean
815,2,512,Morning_Clean
816,2,512,Morning_Clean
817,2,512,Morning_Clean
818,2,512,Morning_Clean
819,2,512,Morning_Clean
820,2,512,Morning_Clean
821,2,512,Morning_Clean
822,2,512,Morning_Clean
823,2,512,Morning_Clean
824,2,512,Morning_Clean
825,2,512,Morning_Clean
826,2,512,Morning_Clean
827,2,512,Morning_Clean
828,2,512,Morning_Clean
829,2,512,Morning_Clean
830,2,512,Morning_Clean
831,2,512,Morning_Clean
832,2,512,Morning_Clean
833,2,512,Morning_Clean
834,2,512,Morning_Clean
835,2,512,Morning_Clean
836,2,512,Morning_Clean
837,2,512,Morning_Clean
838,2,512,Morning_Clean
839,2,512,Morning_Clean
840,2,512,Morning_Clean
841,2,512,Morning_Clean
842,2,512,Morning_Clean
843,2,512,Morning_Clean
844,2,512,Morning_Clean
845,2,512,Morning_Clean
846,2,512,Morning_Clean
847,2,512,Morning_Clean
848,2,512,Morning_Clean
849,2,512,Morning_Clean
850,2,512,Morning_Clean
851,2,512,Morning_Clean
852,2,512,Morning_Clean
853,2,512,Morning_Clean
854,2,512,Morning_Clean
855,2,512,Morning_Clean
856,2,512,Morning_Clean
857,2,512,Morning_Clean
858,2,512,Morning_Clean
859,2,512,Morning_Clean
860,2,512,Morning_Clean
861,2,512,Morning_Clean
862,2,512,Morning_Clean
863,2,512,Morning_Clean
864,2,512,Morning_Clean
865,2,512,Morning_Clean
866,2,512,Morning_Clean
867,2,512,Morning_Clean
868,2,512,Morning_Clean
869,2,512,Morning_Clean
870,2,512,Morning_Clean
871,2,512,Morning_Clean
872,2,512,Morning_Clean
873,2,512,Morning_Clean
874,2,512,Morning_Clean
875,2,512,Morning_Clean
876,2,512,Morning_Clean
877,2,512,Morning_Clean
878,2,512,Morning_Clean
879,2,512,Morning_Clean
880,2,512,Morning_Clean
881,2,512,Morning_Clean
882,2,512,Morning_Clean
883,2,512,Morning_Clean
884,2,512,Morning_Clean
885,2,512,Morning_Clean
886,2,512,Morning_Clean
887,2,512,Morning_Clean
888,2,512,Morning_Clean
889,2,512,Morning_Clean
890,2,512,Morning_Clean
891,2,512,Morning_Clean
892,2,512,Morning_Clean
893,2,512,Morning_Clean
894,2,512,Morning_Clean
895,2,512,Morning_Clean
896,2,512,Morning_Clean
897,2,512,Morning_Clean
898,2,512,Morning_Clean
899,2,512,Morning_Clean
900,2,512,Morning_Clean
901,2,512,Morning_Clean
902,2,512,Morning_Clean
903,2,512,Morning_Clean
904,2,512,Morning_Clean
905,2,512,Morning_Clean
906,2,512,Morning_Clean
907,2,512,Morning_Clean
908,2,512,Morning_Clean
909,2,512,Morning_Clean
910,2,512,Morning_Clean
911,2,512,Morning_Clean
912,2,512,Morning_Clean
913,2,512,Morning_Clean
914,2,512,Morning_Clean
915,2,512,Morning_Clean
916,2,512,Morning_Clean
917,2,512,Morning_Clean
918,2,512,Morning_Clean
919,2,512,Morning_Clean
920,2,512,Morning_Clean
921,2,512,Morning_Clean
922,2,512,Morning_Clean
923,2,512,Morning_Clean
924,2,512,Morning_Clean
925,2,512,Morning_Clean
926,2,512,Morning_Clean
927,2,512,Morning_Clean
928,2,512,Morning_Clean
929,2,512,Morning_Clean
930,2,512,Morning_Clean
931,2,512,Morning_Clean
932,2,512,Morning_Clean
933,2,512,Morning_Clean
934,2,512,Morning_Clean
935,2,512,Morning_Clean
936,2,512,Morning_Clean
937,2,512,Morning_Clean
938,2,512,Morning_Clean
939,2,512,Morning_Clean
940,2,512,Morning_Clean
941,2,512,Morning_Clean
942,2,512,Morning_Clean
943,2,512,Morning_Clean
944,2,512,Morning_Clean
945,2,512,Morning_Clean
946,2,512,Morning_Clean
947,2,512,Morning_Clean
948,2,512,Morning_Clean
949,2,512,Morning_Clean
950,2,512,Morning_Clean
951,2,512,Morning_Clean
952,2,512,Morning_Clean
953,2,512,Morning_Clean
954,2,512,Morning_Clean
955,2,512,Morning_Clean
956,2,512,Morning_Clean
957,2,512,Morning_Clean
958,2,512,Morning_Clean
959,2,512,Morning_Clean
960,2,512,Morning_Clean
961,2,512,Morning_Clean
962,2,512,Morning_Clean
963,2,512,Morning_Clean
964,2,512,Morning_Clean
965,2,512,Morning_Clean
966,2,512,Morning_Clean
967,2,512,Morning_Clean
968,2,512,Morning_Clean
